PERMNO,date,PRC,VOL,RET,SHROUT
93436,2019-06-03,178.97000,13061410,-0.033431,177270
93436,2019-06-04,193.60001,13805122,0.081746,177270
93436,2019-06-05,196.59000,13505456,0.015444,177270
93436,2019-06-06,205.95000,20271663,0.047612,177270
93436,2019-06-07,204.50000,16012527,-0.007041,177270
93436,2019-06-10,212.88000,10583439,0.040978,177270
93436,2019-06-11,217.10001,11651037,0.019823,177270
93436,2019-06-12,209.25999,15196044,-0.036112,177270
93436,2019-06-13,213.91000,8166460,0.022221,177270
93436,2019-06-14,214.92000,7433002,0.004722,177270
93436,2019-06-17,225.03000,12315603,0.047041,177270
93436,2019-06-18,224.74001,12715688,-0.001289,177270
93436,2019-06-19,226.42999,6574635,0.007520,177270
93436,2019-06-20,219.62000,11863162,-0.030076,177270
93436,2019-06-21,221.86000,8200878,0.010199,177270
93436,2019-06-24,223.64000,5747671,0.008023,177270
93436,2019-06-25,219.75999,6180971,-0.017349,177270
93436,2019-06-26,219.27000,8506408,-0.002230,177270
93436,2019-06-27,222.84000,6339410,0.016281,177270
93436,2019-06-28,223.46001,6851284,0.002782,179118
93436,2019-07-01,227.17000,8237864,0.016602,179118
93436,2019-07-02,224.55000,9258427,-0.011533,179118
93436,2019-07-03,234.89999,14213889,0.046092,179118
93436,2019-07-05,233.10001,7065038,-0.007663,179118
93436,2019-07-08,230.34000,5880242,-0.011840,179118
93436,2019-07-09,230.06000,6191135,-0.001216,179118
93436,2019-07-10,238.92000,9145036,0.038512,179118
93436,2019-07-11,238.60001,7513730,-0.001339,179118
93436,2019-07-12,245.08000,9200021,0.027158,179118
93436,2019-07-15,253.50000,11009782,0.034356,179118
93436,2019-07-16,252.38000,8157889,-0.004418,179118
93436,2019-07-17,254.86000,9762427,0.009826,179118
93436,2019-07-18,253.53999,4764283,-0.005179,179118
93436,2019-07-19,258.17999,7047810,0.018301,179118
93436,2019-07-22,255.67999,6845873,-0.009683,179127
93436,2019-07-23,260.17001,5040921,0.017561,179127
93436,2019-07-24,264.88000,11072335,0.018104,179127
93436,2019-07-25,228.82001,22414522,-0.136137,179127
93436,2019-07-26,228.03999,10028822,-0.003409,179127
93436,2019-07-29,235.77000,9270936,0.033898,179127
93436,2019-07-30,242.25999,8107814,0.027527,179127
93436,2019-07-31,241.61000,9178108,-0.002683,179127
93436,2019-08-01,233.85001,8259116,-0.032118,179127
93436,2019-08-02,234.34000,6135981,0.002095,179127
93436,2019-08-05,228.32001,7027979,-0.025689,179127
93436,2019-08-06,230.75000,5563100,0.010643,179127
93436,2019-08-07,233.42000,4776400,0.011571,179127
93436,2019-08-08,238.30000,5274349,0.020907,179127
93436,2019-08-09,235.00999,3897944,-0.013806,179127
93436,2019-08-12,229.00999,4662037,-0.025531,179127
93436,2019-08-13,235.00000,4885698,0.026156,179127
93436,2019-08-14,219.62000,9556291,-0.065447,179127
93436,2019-08-15,215.64000,8234952,-0.018122,179127
93436,2019-08-16,219.94000,5206976,0.019941,179127
93436,2019-08-19,226.83000,5311448,0.031327,179127
93436,2019-08-20,225.86000,4169527,-0.004276,179127
93436,2019-08-21,220.83000,7799244,-0.022270,179127
93436,2019-08-22,222.14999,6558964,0.005977,179127
93436,2019-08-23,211.39999,8558256,-0.048391,179127
93436,2019-08-26,215.00000,5053514,0.017029,179127
93436,2019-08-27,214.08000,5419827,-0.004279,179127
93436,2019-08-28,215.59000,3236325,0.007053,179127
93436,2019-08-29,221.71001,5180204,0.028387,179127
93436,2019-08-30,225.61000,9325090,0.017591,179127
93436,2019-09-03,225.00999,5359246,-0.002659,179127
93436,2019-09-04,220.67999,5769836,-0.019244,179127
93436,2019-09-05,229.58000,7401722,0.040330,179127
93436,2019-09-06,227.45000,4188372,-0.009278,179127
93436,2019-09-09,231.78999,4800753,0.019081,179127
93436,2019-09-10,235.53999,4881514,0.016178,179127
93436,2019-09-11,247.10001,10032177,0.049079,179127
93436,2019-09-12,245.87000,8579110,-0.004978,179127
93436,2019-09-13,245.20000,5372845,-0.002725,179127
93436,2019-09-16,242.81000,4727296,-0.009747,179127
93436,2019-09-17,244.78999,3945609,0.008155,179127
93436,2019-09-18,243.49001,4227203,-0.005311,179127
93436,2019-09-19,246.60001,4882550,0.012773,179127
93436,2019-09-20,240.62000,6504564,-0.024250,179127
93436,2019-09-23,241.23000,4391430,0.002535,179127
93436,2019-09-24,223.21001,12939912,-0.074700,179127
93436,2019-09-25,228.70000,9442586,0.024596,179127
93436,2019-09-26,242.56000,12077088,0.060603,179127
93436,2019-09-27,242.13000,11121979,-0.001773,179127
93436,2019-09-30,240.87000,5945661,-0.005204,180000
93436,2019-10-01,244.69000,6194490,0.015859,180000
93436,2019-10-02,243.13000,6255248,-0.006375,180000
93436,2019-10-03,233.03000,15137864,-0.041542,180000
93436,2019-10-04,231.42999,8013838,-0.006866,180000
93436,2019-10-07,237.72000,8086057,0.027179,180000
93436,2019-10-08,240.05000,8698338,0.009801,180000
93436,2019-10-09,244.53000,6928244,0.018663,180000
93436,2019-10-10,244.74001,6313242,0.000859,180000
93436,2019-10-11,247.89000,8494495,0.012871,180000
93436,2019-10-14,256.95999,10225913,0.036589,180000
93436,2019-10-15,257.89001,6478456,0.003619,180000
93436,2019-10-16,259.75000,6704003,0.007212,180000
93436,2019-10-17,261.97000,4778843,0.008547,180000
93436,2019-10-18,256.95001,5753066,-0.019162,180000
93436,2019-10-21,253.50000,5107101,-0.013427,180245
93436,2019-10-22,255.58000,4624956,0.008205,180245
93436,2019-10-23,254.67999,11216079,-0.003521,180245
93436,2019-10-24,299.67999,29817922,0.176692,180245
93436,2019-10-25,328.13000,30020011,0.094935,180245
93436,2019-10-28,327.70999,18868149,-0.001280,180245
93436,2019-10-29,316.22000,12684955,-0.035061,180245
93436,2019-10-30,315.01001,9641810,-0.003826,180245
93436,2019-10-31,314.92001,5069406,-0.000286,180245
93436,2019-11-01,313.31000,6383729,-0.005112,180245
93436,2019-11-04,317.47000,8786890,0.013278,180245
93436,2019-11-05,317.22000,6943024,-0.000787,180245
93436,2019-11-06,326.57999,7940032,0.029506,180245
93436,2019-11-07,335.54001,14466248,0.027436,180245
93436,2019-11-08,337.14001,6073321,0.004768,180245
93436,2019-11-11,345.09000,9993489,0.023581,180245
93436,2019-11-12,349.92999,7359083,0.014025,180245
93436,2019-11-13,346.10999,8467963,-0.010916,180245
93436,2019-11-14,349.35001,6472393,0.009361,180245
93436,2019-11-15,352.17001,4812463,0.008072,180245
93436,2019-11-18,349.98999,4409833,-0.006190,180245
93436,2019-11-19,359.51999,7736092,0.027229,180245
93436,2019-11-20,352.22000,6733965,-0.020305,180245
93436,2019-11-21,354.82999,6109713,0.007410,180245
93436,2019-11-22,333.04001,16866642,-0.061410,180245
93436,2019-11-25,336.34000,12345265,0.009909,180245
93436,2019-11-26,328.92001,7956039,-0.022061,180245
93436,2019-11-27,331.29001,5563259,0.007205,180245
93436,2019-11-29,329.94000,2465629,-0.004075,180245
93436,2019-12-02,334.87000,6060214,0.014942,180245
93436,2019-12-03,336.20001,6582705,0.003972,180245
93436,2019-12-04,333.03000,5521357,-0.009429,180245
93436,2019-12-05,330.37000,3739370,-0.007987,180245
93436,2019-12-06,335.89001,7608180,0.016709,180245
93436,2019-12-09,339.53000,9019023,0.010837,180245
93436,2019-12-10,348.84000,8803897,0.027420,180245
93436,2019-12-11,352.70001,6899359,0.011065,180245
93436,2019-12-12,359.67999,7813223,0.019790,180245
93436,2019-12-13,358.39001,6555839,-0.003586,180245
93436,2019-12-16,381.50000,18160973,0.064483,180245
93436,2019-12-17,378.98999,8480271,-0.006579,180245
93436,2019-12-18,393.14999,14084389,0.037362,180245
93436,2019-12-19,404.04001,18082443,0.027699,180245
93436,2019-12-20,405.59000,14750787,0.003836,180245
93436,2019-12-23,419.22000,13298127,0.033605,180245
93436,2019-12-24,425.25000,8186207,0.014384,180245
93436,2019-12-26,430.94000,10617605,0.013380,180245
93436,2019-12-27,430.38000,9936455,-0.001299,180245
93436,2019-12-30,414.70001,12563586,-0.036433,180245
93436,2019-12-31,418.32999,10264766,0.008753,181062
93436,2020-01-02,430.26001,9530112,0.028518,181062
93436,2020-01-03,443.01001,17754937,0.029633,181062
93436,2020-01-06,451.54001,10135350,0.019255,181062
93436,2020-01-07,469.06000,18173374,0.038801,181062
93436,2020-01-08,492.14001,31075285,0.049205,181062
93436,2020-01-09,481.34000,28379982,-0.021945,181062
93436,2020-01-10,478.14999,12936566,-0.006627,181062
93436,2020-01-13,524.85999,26585353,0.097689,181062
93436,2020-01-14,537.91998,28955735,0.024883,181062
93436,2020-01-15,518.50000,17326831,-0.036102,181062
93436,2020-01-16,513.48999,21676128,-0.009663,181062
93436,2020-01-17,510.50000,13613448,-0.005823,181062
93436,2020-01-21,547.20001,17729048,0.071890,181062
93436,2020-01-22,569.56000,31246840,0.040863,181062
93436,2020-01-23,572.20001,19647957,0.004635,181062
93436,2020-01-24,564.82001,14307966,-0.012898,181062
93436,2020-01-27,558.02002,13573672,-0.012039,181062
93436,2020-01-28,566.90002,11790607,0.015913,181062
93436,2020-01-29,580.98999,18180726,0.024854,181062
93436,2020-01-30,640.81000,28911713,0.102962,181062
93436,2020-01-31,650.57001,15676580,0.015231,181062
93436,2020-02-03,780.00000,47076894,0.198949,181062
93436,2020-02-04,887.06000,60652235,0.137256,181062
93436,2020-02-05,734.70001,48231012,-0.171758,181062
93436,2020-02-06,748.96002,39721262,0.019409,181062
93436,2020-02-07,748.07001,17070771,-0.001188,181342
93436,2020-02-10,771.28003,24651598,0.031027,181342
93436,2020-02-11,774.38000,11661795,0.004019,181342
93436,2020-02-12,767.28998,12016042,-0.009156,181342
93436,2020-02-13,804.00000,26218620,0.047844,181342
93436,2020-02-14,800.03003,15656779,-0.004938,181342
93436,2020-02-18,858.40002,16668917,0.072960,184110
93436,2020-02-19,917.41998,25338483,0.068756,184110
93436,2020-02-20,899.40997,17590776,-0.019631,184110
93436,2020-02-21,901.00000,14314935,0.001768,184110
93436,2020-02-24,833.78998,15129252,-0.074595,184110
93436,2020-02-25,799.90997,17266202,-0.040634,184110
93436,2020-02-26,778.79999,14120951,-0.026390,184110
93436,2020-02-27,679.00000,24211114,-0.128146,184110
93436,2020-02-28,667.98999,24469949,-0.016215,184110
93436,2020-03-02,743.62000,20143254,0.113220,184110
93436,2020-03-03,745.51001,25733963,0.002542,184110
93436,2020-03-04,749.50000,15019950,0.005352,184110
93436,2020-03-05,724.53998,10833518,-0.033302,184110
93436,2020-03-06,703.47998,12633439,-0.029067,184110
93436,2020-03-09,608.00000,17020760,-0.135725,184110
93436,2020-03-10,645.33002,15535305,0.061398,184110
93436,2020-03-11,634.22998,13356746,-0.017201,184110
93436,2020-03-12,560.54999,18883822,-0.116172,184110
93436,2020-03-13,546.62000,22595315,-0.024851,184110
93436,2020-03-16,445.07001,20446685,-0.185778,184110
93436,2020-03-17,430.20001,23923871,-0.033410,184110
93436,2020-03-18,361.22000,23718230,-0.160344,184110
93436,2020-03-19,427.64001,30136064,0.183877,184110
93436,2020-03-20,427.53000,28174267,-0.000257,184110
93436,2020-03-23,434.29001,16452706,0.015812,184110
93436,2020-03-24,505.00000,22837423,0.162817,184110
93436,2020-03-25,539.25000,21177366,0.067822,184110
93436,2020-03-26,528.15997,17394057,-0.020566,184110
93436,2020-03-27,514.35999,14356042,-0.026128,184110
93436,2020-03-30,502.13000,11978923,-0.023777,184110
93436,2020-03-31,524.00000,17731682,0.043554,185000
93436,2020-04-01,481.56000,13321367,-0.080992,185000
93436,2020-04-02,454.47000,19820649,-0.056255,185000
